method;modification;ber percent;snr db;psnr db
phase;half quantization;40.2977473316913;4.801020966741389;23.142653501854536
phase;half sampling;39.48038536535304;4.710566062073911;23.052198597187058
phase;high-pass half max frequency;49.94086104269294;-13.77632436051506;4.565308174598089
phase;low-pass half max frequency;50.003976806239734;-13.775575127813273;4.566057407299876
phase;mp3 transcoding: 96k;50.06413631483317;-13.03332059499418;5.330124906243326
phase;noise: SNR 10 dB;45.57253181444992;3.0075962533359983;21.349228788449146
phase;noise: SNR 20 dB;42.32277555418719;4.436916067832887;22.778548602946035
