method;modification;ber percent;snr db;psnr db
echo bf;half quantization;17.27061170212766;9.351550963953315;23.565627336829944
echo bf;half sampling;16.12367021276596;9.440460315492867;23.65453668836949
echo bf;high-pass half max frequency;49.00265957446808;-9.919030114130045;4.295046258746581
echo bf;low-pass half max frequency;50.016622340425535;-9.917901614500703;4.296174758375922
echo bf;mp3 transcoding: 96k;15.959821428571429;-2.912301861296765;11.14428570278318
echo bf;noise: SNR 10 dB;13.779920212765957;6.9177897516723075;21.131866124548935
echo bf;noise: SNR 20 dB;7.230718085106383;9.051251456390972;23.265327829267598
