method;modification;ber percent;snr db;psnr db
dsss;poloviční kvantování;22.692444037928645;11.333305258061976;27.791540302490258
dsss;poloviční vzorkování;22.454984088153793;11.324536120150203;27.782771167857984
dsss;horní propusť 1/2 max frekv.;49.589327336623946;-10.74712521192239;5.711109834755044
dsss;dolní propusť 1/2 max frekv.;49.861447869761;-12.307382678896964;4.150852367162707
dsss;MP3 překódování: 96k;50.09620447224975;-13.032783755407308;5.330661745830197
dsss;přidání šumu: SNR 10 dB;25.257214452719086;6.03080904913568;22.489044095246662
dsss;přidání šumu: SNR 20 dB;23.20894761719201;9.808418197994378;26.26665324324681
