method;modification;ber percent;snr db;psnr db
dsss dft;poloviční kvantování;21.583846589597044;10.279568550444973;26.73780359675466
dsss dft;poloviční vzorkování;21.424570271908557;10.265762411725836;26.72399745704287
dsss dft;horní propusť 1/2 max frekv.;49.41670094388639;-10.74738482211185;5.710850224424895
dsss dft;dolní propusť 1/2 max frekv.;49.464508645075625;-12.314751033742713;4.143484011269353
dsss dft;MP3 překódování: 96k;49.951607408325074;-13.032757118083325;5.330688383154181
dsss dft;přidání šumu: SNR 10 dB;24.543278598025633;5.978013701967242;22.436248747160757
dsss dft;přidání šumu: SNR 20 dB;22.455096842166032;9.33242609158238;25.79066113693979
