method;params;ber percent;snr db;psnr db
silence interval;min. délka ticha=400;7.602355555017435;-2.2697386797312737;14.711017214852056
silence interval;min. délka ticha=600;36.77333653069467;-2.2062436534188525;14.974425854192436
