method;modification;ber percent;snr db;psnr db
echo single;poloviční kvantování;39.879276816797216;6.239638942359338;21.69867409214331
echo single;poloviční vzorkování;39.71311670474326;6.2198899214571535;21.67892507068585
echo single;horní propusť 1/2 max frekv.;49.66772227208442;-9.60689249232114;5.852142658290628
echo single;dolní propusť 1/2 max frekv.;49.31789361673194;-11.489900600098487;3.969134549157896
echo single;MP3 překódování: 96k;21.651785714285715;-2.866237317443234;11.19035024663671
echo single;přidání šumu: SNR 10 dB;9.776291544277633;4.6105313124756755;20.069566459331366
echo single;přidání šumu: SNR 20 dB;4.831179626305483;6.022365098553968;21.481400247754472
