method;params;ber percent;snr db;psnr db
lsb;depth=1, only needed;0.0;89.94442798334902;108.28606051846218
lsb;depth=2, only needed;0.0;86.77098326652086;105.11261580163402
lsb;depth=4, only needed;0.0;77.33003556034826;95.6716680954614
lsb;depth=1;0.0;67.4000687845699;85.74170131968305
lsb;depth=2;0.0;60.41060694960513;78.75223948471829
lsb;depth=8, only needed;0.0;56.26990186626576;74.6115344013789
lsb;depth=4;0.0;48.10217131411395;66.44380384922711
lsb;depth=8;0.0;23.99596442622556;42.337596961338704
